id_municipio,municipio_nome,id_ugrhi,nome_ugrhi
3536000,Parapuã,20,Aguapeí
3536109,Pardinho,17,Médio Paranapanema
3536208,Pariquera-Açu,11,Ribeira de Iguape / Litoral Sul
3536257,Parisi,15,Turvo / Grande
3536307,Patrocínio Paulista,8,Sapucaí / Grande
3536406,Paulicéia,20,Aguapeí
3536505,Paulínia,5,Piracicaba / Capivari / Jundiaí
3536570,Paulistânia,17,Médio Paranapanema
3536604,Paulo de Faria,15,Turvo / Grande
3536703,Pederneiras,13,Tietê / Jacaré
3536802,Pedra Bela,5,Piracicaba / Capivari / Jundiaí
3536901,Pedranópolis,15,Turvo / Grande
3537008,Pedregulho,8,Sapucaí / Grande
3537107,Pedreira,5,Piracicaba / Capivari / Jundiaí
3537156,Pedrinhas Paulista,17,Médio Paranapanema
3537206,Pedro de Toledo,11,Ribeira de Iguape / Litoral Sul
3537305,Penápolis,19,Baixo Tietê
3537404,Pereira Barreto,19,Baixo Tietê
3537503,Pereiras,10,Tietê / Sorocaba
3537602,Peruíbe,7,Baixada Santista
3537701,Piacatu,20,Aguapeí
3537800,Piedade,10,Tietê / Sorocaba
3537909,Pilar do Sul,14,Alto Paranapanema
3538006,Pindamonhangaba,2,Paraíba do Sul
3538105,Pindorama,15,Turvo / Grande
3538204,Pinhalzinho,5,Piracicaba / Capivari / Jundiaí
3538303,Piquerobi,21,Peixe
3538501,Piquete,2,Paraíba do Sul
3538600,Piracaia,5,Piracicaba / Capivari / Jundiaí
3538709,Piracicaba,5,Piracicaba / Capivari / Jundiaí
3538808,Piraju,14,Alto Paranapanema
3538907,Pirajuí,16,Tietê / Batalha
3539004,Pirangi,15,Turvo / Grande
3539103,Pirapora do Bom Jesus,6,Alto Tietê
3539202,Pirapozinho,22,Pontal do Paranapanema
3539301,Pirassununga,9,Mogi-Guaçu
3539400,Piratininga,16,Tietê / Batalha
3539509,Pitangueiras,9,Mogi-Guaçu
3539608,Planalto,19,Baixo Tietê
3539707,Platina,17,Médio Paranapanema
3539806,Poá,6,Alto Tietê
3539905,Poloni,19,Baixo Tietê
3540002,Pompéia,20,Aguapeí
3540101,Pongaí,16,Tietê / Batalha
3540200,Pontal,9,Mogi-Guaçu
