id_municipio,municipio_nome,id_cetesb
3549201,São João das Duas Pontes,640
3549250,São João de Iracema,761
3549300,São João do Pau d'Alho,641
3549409,São Joaquim da Barra,642
3549508,São José da Bela Vista,644
3549607,São José do Barreiro,643
3549706,São José do Rio Pardo,646
3549805,São José do Rio Preto,647
3549904,São José dos Campos,645
3549953,São Lourenço da Serra,772
3550001,São Luís do Paraitinga,648
3550100,São Manuel,649
3550209,São Miguel Arcanjo,650
3550308,São Paulo,100
3550407,São Pedro,651
3550506,São Pedro do Turvo,652
3550605,São Roque,653
3550704,São Sebastião,654
3550803,São Sebastião da Grama,655
3550902,São Simão,656
3551009,São Vicente,657
3551108,Sarapuí,658
3551207,Sarutaiá,659
3551306,Sebastianópolis do Sul,660
3551405,Serra Azul,661
3551603,Serra Negra,662
3551504,Serrana,663
3551702,Sertãozinho,664
3551801,Sete Barras,665
3551900,Severínia,666
3552007,Silveiras,667
3552106,Socorro,668
3552205,Sorocaba,669
3552304,Sud Mennucci,670
3552403,Sumaré,671
3552551,Suzanápolis,762
3552502,Suzano,672
3552601,Tabapuã,673
3552700,Tabatinga,674
3552809,Taboão da Serra,675
3552908,Taciba,676
3553005,Taguaí,677
3553104,Taiaçu,678
3553203,Taiúva,679
3553302,Tambaú,680
3553401,Tanabi,681
3553500,Tapiraí,682
3553609,Tapiratiba,683
3553658,Taquaral,785
3553708,Taquaritinga,684
3553807,Taquarituba,685
3553856,Taquarivaí,763
3553906,Tarabai,686
3553955,Tarumã,731
3554003,Tatuí,687
3554102,Taubaté,688
3554201,Tejupá,689
3554300,Teodoro Sampaio,690
3554409,Terra Roxa,691
3554508,Tietê,692
3554607,Timburi,693
3554656,Torre de Pedra,773
3554706,Torrinha,694
3554755,Trabiju,794
3554805,Tremembé,695
3554904,Três Fronteiras,696
3554953,Tuiuti,764
3555000,Tupã,697
3555109,Tupi Paulista,698
3555208,Turiúba,699
3555307,Turmalina,700
3555356,Ubarana,765
3555406,Ubatuba,701
3555505,Ubirajara,702
