id_municipio,municipio_nome,nome_rm,legislacao,data,legislacao_data
3547601,Santa Rosa de Viterbo,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3553302,Tambaú,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3501004,Altinópolis,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3505906,Batatais,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3531902,Morro Agudo,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3533601,Nuporanga,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3534302,Orlândia,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3544905,Sales Oliveira,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3547908,Santo Antônio da Alegria,Região Metropolitana de Ribeirão Preto,Lei Complementar 1.290,2016-07-06,Lei Complementar 1.290 de 06.07.2016
3503901,Arujá,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3506607,Biritiba-Mirim,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3515707,Ferraz de Vasconcelos,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3518305,Guararema,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3518800,Guarulhos,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3523107,Itaquaquecetuba,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3530607,Mogi das Cruzes,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3539806,Poá,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3545001,Salesópolis,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3546801,Santa Isabel,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3552502,Suzano,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3509007,Caieiras,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3509205,Cajamar,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3516309,Francisco Morato,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3516408,Franco da Rocha,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3528502,Mairiporã,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3505708,Barueri,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3510609,Carapicuíba,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3522505,Itapevi,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3525003,Jandira,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3534401,Osasco,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3539103,Pirapora do Bom Jesus,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3547304,Santana de Parnaíba,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3513801,Diadema,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3529401,Mauá,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3543303,Ribeirão Pires,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3544103,Rio Grande da Serra,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3547809,Santo André,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3548708,São Bernardo do Campo,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3548807,São Caetano do Sul,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3513009,Cotia,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3515004,Embu das Artes,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3515103,Embu-Guaçu,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3522208,Itapecerica da Serra,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3526209,Juquitiba,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3549953,São Lourenço da Serra,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3552809,Taboão da Serra,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3556453,Vargem Grande Paulista,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3550308,São Paulo,Região Metropolitana de São Paulo,Lei Complementar 1.139,2011-06-16,Lei Complementar 1.139 de 16.06.2011
3500758,Alambari,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3507001,Boituva,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3510302,Capela do Alto,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3511508,Cerquilho,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3511607,Cesário Lange,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3522307,Itapetininga,Região Metropolitana de Sorocaba,Lei Complementar 1.289,2016-06-29,Lei Complementar 1.289 de 29.06.2016
3525854,Jumirim,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3551108,Sarapuí,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3554003,Tatuí,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3554508,Tietê,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3501152,Alumínio,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3502754,Araçariguama,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3519709,Ibiúna,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3523909,Itu,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3528403,Mairinque,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3540606,Porto Feliz,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3545209,Salto,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3550605,São Roque,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3502903,Araçoiaba da Serra,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3521002,Iperó,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3537800,Piedade,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3537909,Pilar do Sul,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3545308,Salto de Pirapora,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3550209,São Miguel Arcanjo,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3552205,Sorocaba,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3553500,Tapiraí,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3557006,Votorantim,Região Metropolitana de Sorocaba,Lei Complementar 1.241,2014-06-20,Lei Complementar 1.241 de 20.06.2014
3508504,Caçapava,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3520202,Igaratá,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3524402,Jacareí,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3524907,Jambeiro,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3531704,Monteiro Lobato,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3535606,Paraibuna,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3546009,Santa Branca,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3549904,São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3509700,Campos do Jordão,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3526308,Lagoinha,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3532306,Natividade da Serra,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3538006,Pindamonhangaba,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3542305,Redenção da Serra,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3548203,Santo Antônio do Pinhal,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3548609,São Bento do Sapucaí,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3550001,São Luís do Paraitinga,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3554102,Taubaté,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3554805,Tremembé,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3502507,Aparecida,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3508603,Cachoeira Paulista,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
3509957,Canas,Região Metropolitana do Vale do Paraíba e Litoral Norte,Lei Complementar 1.166,2012-01-09,Lei Complementar 1.166 de 09.01.2012
